,Unnamed: 0,id,send,recv,bot_out
0,0,a07edb12-6b91-4138-b11e-02421888d699, Hello How are you doing today?, whats up MD im doing good how are you doing?," I'm doing well, thank you. How about yourself? Do you have any plans for the weekend?"
1,1,58a21226-302d-4d83-a7f8-8e6ade072c84, hi anyone here, hey whats up yeah how are you," Hi, how are you? I just got back from walking my dog. Do you have any pets?"
2,2,cdf96a2c-1ba5-4375-a65e-917b151ce04e, good afternoon!, Heyoo, Do you have any plans for the evening? I'm thinking of going out for dinner.
3,3,ebe2fe21-3835-48c5-b744-12d00ca67843, president nelson!! he's such an incredible example and i love how young he still acts!, He totally is a hero!  He is amazing!," I love him too! He was born and raised in New York City, which is why I like him so much."
4,4,14852eed-2d7d-42a0-95e2-61bca8c2ed1e, Don't they need sleep too?, I guess. *shrug*," Yes, they do.  I think I'm going to have to take a nap."
5,5,190a0957-050c-4927-9495-5a181ae9809a, What is the best kind of pizza? I personally like Hawaiin," I believe that oreo desert pizza is the best. If I had to choose something salty though, it would Hawaiin.", I like pepperoni and sausage the best.  What is your favorite toppings?
6,6,5773a49e-bd4d-4827-894e-7310baf27e95, Hello, I learned that the Queen of England's last corgi died," Hi, how are you? I just got back from walking my dog. Do you have any pets?"
7,7,72bc8819-5841-469e-8734-04bce808d439, Hey!, Hey I'm gonna close the other window if that's alright, Hi! How are you? I just got back from walking my dog. It was nice.
8,8,06b7af54-b330-4a56-94f2-7b50232d98df, hello.  Let me guess.  Is it you adam, yep.  alright I guess you are still here to listen.  correct?," No, it's not me.  I'm not sure who that is.  Are you?"
9,9,b3a2bccf-ec51-44e0-92be-c63148ba0939, Hello, My life is confusing," Hi, how are you? I just got back from walking my dog. Do you have any pets?"
10,10,c2529680-6282-4497-9627-65da9f095050, I don't know what falafel is In fact I don't even know if that's how it's spelled I think that's pretty embarrassing What about you? What do you think falafel is? How do you think it should be spelled? Do you think I should be embarrassed by that?, Ive had a falafel!!! I just had one about 2 months ago for the first time but before that I had no idea what a falafel was haha," I'm not sure, but I do know that it's an Italian dish consisting of eggplant, tomato sauce, and cheese."
