,id,in,out
0,a07edb12-6b91-4138-b11e-02421888d699, Hello How are you doing today?, whats up MD im doing good how are you doing?
1,58a21226-302d-4d83-a7f8-8e6ade072c84, hi anyone here, hey whats up yeah how are you
2,cdf96a2c-1ba5-4375-a65e-917b151ce04e, good afternoon!, Heyoo
3,ebe2fe21-3835-48c5-b744-12d00ca67843, president nelson!! he's such an incredible example and i love how young he still acts!, He totally is a hero!  He is amazing!
4,14852eed-2d7d-42a0-95e2-61bca8c2ed1e, Don't they need sleep too?, I guess. *shrug*
5,190a0957-050c-4927-9495-5a181ae9809a, What is the best kind of pizza? I personally like Hawaiin," I believe that oreo desert pizza is the best. If I had to choose something salty though, it would Hawaiin."
6,5773a49e-bd4d-4827-894e-7310baf27e95, Hello, I learned that the Queen of England's last corgi died
7,72bc8819-5841-469e-8734-04bce808d439, Hey!, Hey I'm gonna close the other window if that's alright
8,06b7af54-b330-4a56-94f2-7b50232d98df, hello.  Let me guess.  Is it you adam, yep.  alright I guess you are still here to listen.  correct?
9,b3a2bccf-ec51-44e0-92be-c63148ba0939, Hello, My life is confusing
10,c2529680-6282-4497-9627-65da9f095050, I don't know what falafel is In fact I don't even know if that's how it's spelled I think that's pretty embarrassing What about you? What do you think falafel is? How do you think it should be spelled? Do you think I should be embarrassed by that?, Ive had a falafel!!! I just had one about 2 months ago for the first time but before that I had no idea what a falafel was haha
11,3a70241f-6f7b-4b39-9d50-62ae894e8205, Helllo!!!, Hello!  I think this program is buggy
12,1962c044-b8e5-4cac-966d-62e96fd66826, i would travel the world. because who wouldnt, haha thats funny I'll do the same I love traveling :)
13,8ece0fad-f014-4972-b5d4-86782b67e52a, Hello Is anyone there? I've now talked to myself for 6 of the past 7 conversations starting this morning I'll probably only wait briefly before giving up I actually don't have long anyways.  I need to start cooking dinner before my wife gets home from work. So... I am just talking to myself again it seems, Ok can you explain what this thing even is for me?
14,d367a92a-96cc-4455-a2c5-32ff7050c331, Idk honestly, Same I'm trying to sell to win a computer
15,8c2f2cc2-0f43-4ffa-b4ed-862063b516c2, Hello!," Hey! Okay that's actually a way good question to get started I am embarrassed that I can never remember measurements in the kitchen, like ounces and cups and quarts and gallons"
16,8e113171-e2b6-4487-9c62-056afeef23d2, Hello, I learned that Holland and the Netherlands are the same thing. That blew my mind! And made me feel a bit embarrassed that I did not know that before.
17,4f0096fe-306b-4e8f-87c1-bbe9d29afd49, Yo whats up, Hello
18,76725d26-b5ca-4548-8c97-7c641725ad2f, what about peanut butter allergies though??, Yeah my sister would not have a good time! I'd be down with a nutella world though.
