,bot_in
0,In what country is Normandy located?
1,When were the Normans in Normandy?
2,From which countries did the Norse originate?
3,Who was the Norse leader?
4,What century did the Normans first gain their separate identity?
5,Who gave their name to Normandy in the 1000's and 1100's
6,What is France a region of?
7,Who did King Charles III swear fealty to?
8,When did the Frankish identity emerge?
9,Who was the duke in the battle of Hastings?
10,Who ruled the duchy of Normandy
11,What religion were the Normans
12,What type of major impact did the Norman dynasty have on modern Europe?
13,Who was famed for their Christian spirit?
14,Who assimilted the Roman language?
15,Who ruled the country of Normandy?
16,What principality did William the conquerer found?
17,What is the original meaning of the word Norman?
18,When was the Latin version of the word Norman first recorded?
19,What name comes from the English words Normans/Normanz?
20,When was the French version of the word Norman first recorded?
21,When was the Duchy of Normandy founded?
22,Who did Rollo sign the treaty of Saint-Clair-sur-Epte with?
23,What river originally bounded the Duchy
24,when did Nors encampments ivolve into destructive incursions?
25,What treaty was established in the 9th century?
26,Who established a treaty with King Charles the third of France?
27,What did the French promises to protect Rollo and his men from?
28,Who upon arriving gave the original viking settlers a common identity?
29,When did Rollo begin to arrive in Normandy?
30,What Viking groups were conquered by Rollo?
31,What was the Norman religion?
32,What part of France were the Normans located?
33,What was replace with the Norse religion?
34,What did maternal Old Norse traditions merge with?
35,What language replaced the Gallo-Romance language?
36,What was one of the Norman's major exports?
37,Who adopted the fuedel doctrines of the Normans?
38,What was one of the Norman's major imports?
39,Who's arristocracy eventually served as avid Crusaders?
40,"Who was the Normans' main enemy in Italy, the Byzantine Empire and Armenia?"
41,Who entered Italy soon after the Byzantine Empire?
42,Who did the Normans fight in Italy?
43,Who did the Normans encourage to come to the south?
44,During what campaign did the Vargian and Lombard fight?
45,When did Herve serve as a Byzantine general?
46,When did Robert Crispin go up against the Turks?
47,Who ruined Roussel de Bailleul's plans for an independent state?
48,Who was the first Byzantine mercenary to serve with the Normans?
49,When did Herve serve as a Norman general?
50,Who ruined Alexius Komnenos plans for an independent state?
51,When did Herve go up against the Turks?
52,What was the name of the Norman castle?
53,Who was the leader when the Franks entered the Euphrates valley?
54,Who did the Normans team up with in Anatolia?
55,Who joined Norman forces in the destruction of the Armenians?
56,Who did the Turks take up service with?
57,What Frank led Norman forces?
58,Where did Oursel lead the Franks?
59,What were the origins of the Raouliii family?
60,Where were several Norman mercenary familes originate from?
61,Who did the Normans serve under in the 10th century?
62,What expedition did George Maniaces lead in the 10th century?
63,What was the name of the count of Apulia 
64,When did Dyrrachium  fall to the Normans?
65,How many men were in Robert's army?
66,Who ultimatly drove the Byzantines out of Europe?
67,What pope opposed Roberts campaign?
68,What fell to the Normans in the 10th century?
69,How many men did Roberts army face?
70,Where did the Normans and Byzantines sign the peace treaty?
71,Who was Robert's son?
72,What river was Petrela located by?
73,Who did the Normans besiege in the 11th century?
74,Who did Robert lead agains Dyrrachium in 1107?
75,Who was Bohemond's son?
76,When did the Normans attack Dyrrachium?
77,What was the naval base called?
78,Where was Dyrrachium located?
79,Who attacked Dyrrachium in the 11th century?
80,Who betrayed the Normans?
81,What naval base fell to the Normans?
82,Who did Emma Marry?
83,Who was Emma's brother?
84,To where did Ethelred flee?
85,Who kicked Ethelred out?
86,Who married Cnut the Great?
87,When did Richard II flee to Normandy?
88,Who's major ports were controlled by the English?
89,Who was Edward the Confessor's half-brother?
90,When did Edward return?
91,Who did Edward make archbishop of Canterbury?
92,When did Edward the Confessor's son return from his fathers refuge?
93,What kind of force did Harthacnut establish?
94,Who made Robert of Jumieges earl of Hereford?
95,Where did Harold II die?
96,Who killed Harold II? 
97,When was the Battle of Hastings?
98,Who was the ruling class ahead of the Normans?
99,When did King Harold II conquer England?
100,What battle took place in the 10th century?
101,Who replaced the Normans as the ruling class?
102,Who considered their land on the continent their most important holding?
103,What was the Anglo-Norman language's final form?
104,Who identified themselves as French during the Hundred Years War?
105,What was absorbed into the Anglo-Norman language?
106,Who made fun of the Latin language?
107,In what year did the Norman's invade at Bannow Bay?
108,What country did the Normans invade in 1169?
109,What culture did the Normans combine with in Ireland?
110,Where did the Normans invade in the 11th century?
111,Who did the Irish culture have a profound effect on?
112,What castles were built by the Irish?
113,Who was Margaret's brother?
114,Who was Margaret's husband?
115,When was Scotland invaded by William?
116,Who was the hostage?
117,Who did Edgar marry?
118,Who invaded Scotland in the 10th century?
119,Who did the Scotish king take hostage?
120,Who did Alexander I marry?
121,"What culture's arrival in Scotland is know as the ""Davidian Revolution""?"
122,Who did King David I of Scotland Marry?
123,What did Sybilla of Normandy introduce to Scotland?
124,Where was Ralph earl of?
125,Who was Ralph in charge of being at war with?
126,Who made Ralph earl?
127,Who came into contact with Wales after the conquest of England?
128,Who made Edward the Confessor Earl?
129,What country was under the control of Norman barons?
130,What came under Williams dominace before the conquest?
131,What Welsh lords did William conquer?
132,What year did Roger de Tosny fail to accomplish what he set out to do?
133,Who was in charge of the papal army in the War of Barbastro?
134,Where did the Normans carve out a principality before the First Crusade?
135,What did the Normans take part in in the 10th century?
136,Who carved out a state for himself from Moorish lands?
137,What war occured in the 1oth century?
138,When did the Siege of Antioch take place?
