,bot_out
0,Normandie is a region in the northern part of France. It is also famous for being the location of the Allied invasion of France during World War II.
1,"The Normans were a group of people who settled in northern France in the 4th and 3rd centuries BC. The name Normandy comes from the conquest and subsequent settlement of the area by the ""Northmen"" () also called Vikings."
2,"This is a very difficult question to answer, because we don't know exactly where the Norse came from. We do know that they came from Scandinavia, and that they settled in England, Scotland, Ireland, and parts of the Netherlands. However, we do not know exactly how they came to England, or how they got there. There are a number of theories about the origin of the Norse, but none of them have been proven to be correct. One theory is that the Norse originated in Scandinavia and spread to England and Scotland. Another is that they spread to Ireland and Scotland, and then to the rest of Europe. This theory is supported by the fact that there is no archaeological evidence of Norse settlement in Ireland or Scotland. The oldest trace of the spreading of the Old Norse culture outside Europe is at Kujataa. The Norse of Iceland and the English certainly shared a common ancestry in 6th century Denmark. The Anglo-Saxons, composed of tribes of the Angles"
3,"I'm not an expert on Norse history, but I can tell you a bit about the Norse religion. The Norse religion was based on a pantheon of gods known as the Aesir. Odin was the leader of the gods. He was the father of all the other gods, Thor, Loki, Freya, Odin, and Odin's son, Odin the Great. He ruled over all the gods of the Norse pantheon, including Odin, Thor and Loki. He also ruled over the people of the world, ruling over the land, the sea, the sky, and the land itself. There was a lot of conflict between the gods and the people, and there was a great deal of violence between the Gods and their people. The gods were very powerful, and they were able to control the land and the sea. They could also control the sky and the sky. They were also very good at war, and could control the weather and the stars. They also had a lot"
4,"I'm not sure what you mean by ""separate identity"". The Normans did not gain their separate identity until after the Norman Conquest of England in 1066."
5,"The name ""Normans"" comes from the name of a group of people who settled in the area in the 1000's and 1100's. They were called the ""Vikings"" or ""Northmen"" because they were originally from Scandinavia. The name was given to them by Charles the Simple, King of France, who gave land near Rouen and the lower Seine to Rollo, leader of a band of Vikings."
6,"France is a country, not a region."
7,"Charles III swore fealty to the King of France, Charles I of England, and the Holy Roman Emperor, Charles II of Spain. He was married to Henrietta Maria of France."
8,"The Frankish identity emerged at the end of the 3rd century, when Charlemagne unified the Western Roman Empire into the Frankish Empire. Before that it was a Germanic state founded by Clovis I."
9,"The Duke of Normandy was the leader of the Anglo-Saxon army in the Battle of Hastings. He was the son of Harold Godwinson, King of England, who was killed by an arrow through his eye during the battle. The battle was a major turning point in England's history. The Normans were able to conquer England, and William was crowned as King William I of England 10 weeks later."
10,"The duchy of Normandy was created in 911 by Charles the Simple King of France for Rollo, leader of a band of Vikings. In 1066 the seventh duke, William II of England, became King William I of England. The title of Duke of Normandy continued to be held by the Kings of England until Henry III gave up the title by treaty in 1259."
11,The Normans were a group of people who lived in the area of modern-day France. They practiced a form of Christianity known as the Anglo-Saxon religion.
12,"I'm not sure if this is what you're looking for, but I'll give it a shot. The Normans had a huge impact on the development of the English language, culture, and society. For example, the Normans built the Tower of London, Windsor Castle, and many other stone castles in England. They also introduced the Norman language and culture to England, as well as the Anglo-Saxon language, which became the lingua franca of England for a long time after the Norman conquest. The Norman conquest also made England more closely linked with Continental Europe, and made Scandinavian influence less important."
13,"I'm not sure if this qualifies as a ""Christian spirit"", but I think it's worth noting that there are a lot of people who are ""famous"" for their Christian spirit. One of the most famous examples is Thomas Aquinas."
14,"I'm not sure if this is what you're looking for, but I'll give it a shot. The language of the Etruscans was Latin. The Etruscan language was a dialect of Greek, which was the language spoken by the people of the island of Crete. When the Romans conquered Crete, they brought their language with them. They spoke Vulgar Latin. This became the first version of Romanian. There are many other dialects of Latin, but this is the one I'm most familiar with."
15,"Normandy is a region in the northern part of France. The name Normandy comes from the conquest and subsequent settlement of the area by the ""Northmen"" () also called Vikings. The Northmen were a group of people who settled at Rouen and became the Normans. The Duchy of Normandy began in the year 911, when Charles the Simple, King of France gave land near Rouen to Rollo, leader of a band of Vikings. More land was given in 924 and 933. The duchy continued to be ruled by Rollo until his death in 1066."
16,"William the Conqueror was not a conqueror, he was a ruler of a principality. The Principality of Aquitaine was founded by William I in the 9th century. The principality was ruled by William II, who was the son of William I of England and his first wife, the daughter of William II of Normandy. William's son, William III of England, became King of England in the 10th century, and his son William IV of England was King of France in the 11th."
17,"Norman comes from the Latin word ""Normanus"", which means ""of the Norman people"". It was originally used to refer to a group of people who lived in the area of modern-day France, England, Scotland, and Wales. It might also mean:"
18,"The Latin version of the word ""Norman"" was first recorded in 1082 in a document belonging to the Norman Count Roger from 1082."
19,"Norman comes from the Latin word ""Normanus"", which means ""king"" or ""king"". The word ""Normans"" is derived from the Germanic word *Normans* meaning ""king"", and the word *Norman* means ""King""."
20,"The word ""Norman"" comes from the Latin *Normanus*, which means ""of the Normans"". The word ""Normans"" is derived from the French word *Nouvelle Normans*, which is itself derived from Latin *Normans* (which means ""the Normans"")."
21,"The Duchy of Normandy was founded in 924 by King Charles the Simple, who gave land near Rouen and the lower Seine to Rollo, leader of a band of Vikings. More land was given in 933 and 933."
22,"The Treaty of Saint-Clair-sur-Epte was signed in the autumn of 911. It was a treaty between Charles the Simple and Rollo, one of the leaders of the Vikings living in Neustria. The treaty granted Rollo all land between the river Epte and the sea in exchange for his fealty. In exchange, Rollo promised the king his loyalty and military assistance when needed."
23,"The Duchy of Nassau (as a duchy) existed above the Rhine until 1569, when it became a part of the Polish-Lithuanian Commonwealth until 1791."
24,"I'm not sure if this is what you're looking for, but I'll give it a shot. I'm not a historian, so I don't have a lot of sources to go on, but here's what I can tell you. First of all, it's important to keep in mind that the Nors were a nomadic people, not a settled people. They were nomadic in the sense that they were hunter-gatherers, not farmers. They had a hard time in the cold winter weather."
25,The Treaty of Paris was signed in 1229 between Raymond VII of Toulouse and Louis IX of France. It ended the Albigensian Crusade. The treaty also said that Raymond's daughter was to marry to Louis' brother.
26,"The Treaty of Saint-Clair-sur-Epte was signed between Charles the Simple and Rollo, one of the leaders of the Vikings living in Neustria. The treaty granted Rollo all land between the river Epte and the sea in exchange for his fealty. In exchange, Rollo promised the king his loyalty, which involved military assistance for the protection of the kingdom."
27,"The Treaty of Saint-Clair-sur-Epte was signed in the autumn of 911. It was a treaty between Charles the Simple and Rollo, one of the leaders of the Vikings living in Neustria. The treaty granted Rollo all land between the river Epte and the sea in exchange for his fealty. In exchange, Rollo promised the king his loyalty and military assistance when needed. It also granted him Brittany, ""for his livelihood"". At the time, Brittany was an independent region which France had not been able to control. It would grow to become Normandy under Rollo's descendants."
28,"I'm not sure if this is what you're looking for, but I think it's important to note that the Norse were not the first people to arrive in Iceland. Iceland was inhabited by a group of people known as the Íslendinga, who had been living in Iceland for a long time before the Norse arrived. The Íslinga were the descendants of the Norsemen who had settled Iceland in the 8th and 9th centuries, and they were the first to establish permanent settlements in the country. In fact, Iceland was one of the first places in the world to be colonized by the Norse, and the first place to be settled by Norsemen. The first Norseman to settle in Iceland was Þorvaldr Ásvaldsson. He was born in the Jæren district of Rogaland, Norway, as the son of Þorbjólfr (Eiríkr Rauði) and Þ"
29,"Rollo was born in Norway in the early 9th century. He was a son of Rognvald, earl of More (present day Norway) and was a Viking raider in France. In 918 King Charles and Rollo met on the border of the Vexin and Roumois. Rollo was given lands around Rouen in 911 by the French king Charles III the Simple. In a charter the king confirmed to Rollo the city of Rouen. By 924 Normandy was growing into a principality. By the time of Rollo's death in 928, the principality had become the House of Normandy."
